3114	test_g1_0242	0160991	100	22	0	0	1	22	3860615	3860636	0.000154	44.1
48205	test_g1_0733	0161001	100	19	0	0	1	19	20710670	20710652	0.01	38.2
54124	test_g1_0626	0160891	100	19	0	0	1	19	12843447	12843465	0.01	38.2
70953	test_g1_0989	0160941	96.774	31	0	1	1	30	37141127	37141157	3.91e-05	46.1
79927	test_g1_0430	0160981	100	21	0	0	1	21	14834078	14834098	0.00061	42.1
111058	test_g1_0222	0161001	100	27	0	0	1	27	44250411	44250385	1.6e-07	54
126738	test_g1_0888	0160881	100	16	0	0	4	19	1023353	1023338	0.59	32.2
146677	test_g1_0385	0160921	100	16	0	0	8	23	1711952	1711937	0.59	32.2
177200	test_g1_0392	0160881	100	17	0	0	1	17	55465748	55465764	0.15	34.2
216407	test_g1_0835	0160891	100	19	0	0	1	19	4487501	4487519	0.01	38.2
246427	test_g1_0297	0160951	100	20	0	0	1	20	10641103	10641084	0.002	40.1
282437	test_g1_0917	0160941	100	18	0	0	1	18	14367145	14367128	0.038	36.2
314053	test_g1_0705	0160911	100	15	0	0	1	15	17455692	17455678	2.3	30.2
363939	test_g1_0881	0160951	100	17	0	0	1	17	9237311	9237327	0.15	34.2
396305	test_g1_1101	0160951	100	17	0	0	4	20	1838925	1838909	0.15	34.2
420251	test_g1_0807	0161031	100	14	0	0	1	14	36106219	36106232	9.2	28.2
425137	test_g1_0774	0037229351	100	20	0	0	1	20	7795	7776	0.002	40.1
432843	test_g1_0106	0160881	100	20	0	0	1	20	2883871	2883852	0.002	40.1
468946	test_g1_0875	0161001	100	20	0	0	1	20	11547233	11547252	0.002	40.1
469583	test_g1_0434	0160881	100	19	0	0	1	19	55069708	55069726	0.01	38.2
472812	test_g1_0625	0160931	100	20	0	0	1	20	3838712	3838693	0.002	40.1
475095	test_g1_0678	0160971	100	21	0	0	1	21	3312595	3312615	0.00061	42.1
504982	test_g1_0591	0161051	100	16	0	0	1	16	17457551	17457566	0.59	32.2
523139	test_g1_0750	0160891	100	19	0	0	1	19	842934	842916	0.01	38.2
545474	test_g1_1047	0160891	95.833	24	0	1	1	24	45824487	45824465	0.59	32.2
556465	test_g1_0152	0160951	100	15	0	0	2	16	2239984	2239998	2.3	30.2
572284	test_g1_0563	0160901	100	16	0	0	2	17	42534518	42534503	0.59	32.2
572554	test_g1_0327	0161001	100	21	0	0	1	21	7960788	7960808	0.00061	42.1
576734	test_g1_0855	0160971	100	19	0	0	1	19	5483046	5483064	0.01	38.2
606218	test_g1_0237	0160881	100	19	0	0	1	19	35966434	35966416	0.01	38.2
631151	test_g1_0084	0161061	100	22	0	0	1	22	15989876	15989855	0.000154	44.1
631151	test_g1_0084	0161061	100	22	0	0	1	22	15989876	15989855	0.000154	44.1
631638	test_g1_0420	0160911	100	24	0	0	1	24	48606642	48606665	9.89e-06	48.1
643526	test_g1_0338	0160901	100	18	0	0	1	18	42723102	42723085	0.038	36.2
644779	test_g1_0337	0160891	100	14	0	0	6	19	44995735	44995722	9.2	28.2
648436	test_g1_0712	0160931	100	18	0	0	1	18	17267923	17267906	0.038	36.2
671240	test_g1_0201	0160891	100	20	0	0	1	20	38653410	38653429	0.002	40.1
11	test_g1_0803	0160911	100	20	0	0	1	20	44511880	44511899	0.003	40.1
2193	test_g1_0540	0160981	100	16	0	0	1	16	37619011	37618996	0.78	32.2
8982	test_g1_0048	0160931	100	19	0	0	1	19	47986320	47986302	0.013	38.2
18176	test_g1_0097	0161021	100	19	0	0	1	19	10204279	10204261	0.013	38.2
19587	test_g1_0021	0160901	100	20	0	0	1	20	2888547	2888528	0.003	40.1
29458	test_g1_1005	0160971	100	21	0	0	1	21	6246184	6246204	0.000814	42.1
30983	test_g1_0631	0160891	100	20	0	0	1	20	3150118	3150099	0.003	40.1
80632	test_g1_0721	0160941	100	20	0	0	1	20	3150378	3150359	0.003	40.1
90530	test_g1_0360	0160881	100	18	0	0	1	18	51235657	51235674	0.05	36.2
95577	test_g1_0743	0161001	100	20	0	0	1	20	12609114	12609133	0.003	40.1
125462	test_g1_0646	0160971	100	20	0	0	1	20	37997364	37997383	0.003	40.1
133689	test_g1_0109	0161071	100	20	0	0	1	20	44619491	44619510	0.003	40.1
175212	test_g1_0691	0160881	100	14	0	0	4	17	53941913	53941926	12	28.2
176649	test_g1_0708	0161011	100	18	0	0	1	18	9653733	9653750	0.05	36.2
185994	test_g1_0247	0160891	100	15	0	0	1	15	45041300	45041286	3.1	30.2
195741	test_g1_0124	0160961	100	25	0	0	1	25	45184933	45184909	3.34e-06	50.1
202809	test_g1_0496	0160911	100	19	0	0	1	19	8963759	8963741	0.013	38.2
224769	test_g1_0308	0161021	100	20	0	0	1	20	563629	563610	0.003	40.1
251691	test_g1_0907	0160901	100	14	0	0	5	18	43271998	43271985	12	28.2
294785	test_g1_0815	0161011	100	20	0	0	1	20	18986086	18986067	0.003	40.1
319491	test_g1_0622	0161051	100	20	0	0	1	20	4730898	4730879	0.003	40.1
322531	test_g1_0064	0160881	100	20	0	0	1	20	3514890	3514871	0.003	40.1
330239	test_g1_0746	0160901	100	20	0	0	1	20	803071	803052	0.003	40.1
337069	test_g1_0857	0161051	100	18	0	0	2	19	5183605	5183588	0.05	36.2
352753	test_g1_0717	0161071	100	16	0	0	3	18	33587806	33587821	0.78	32.2
374300	test_g1_0913	0160921	100	16	0	0	5	20	36558675	36558660	0.78	32.2
393368	test_g1_0401	0160971	100	25	0	0	1	25	46966253	46966229	3.34e-06	50.1
423297	test_g1_0703	0161001	100	20	0	0	1	20	37891070	37891089	0.003	40.1
434240	test_g1_0885	0161001	100	16	0	0	1	16	42780318	42780303	0.78	32.2
459288	test_g1_0303	0161061	100	22	0	0	2	23	37935710	37935731	0.000206	44.1
472702	test_g1_0005	0161041	100	20	0	0	1	20	1258859	1258840	0.003	40.1
542386	test_g1_0353	0160891	100	20	0	0	1	20	11693574	11693555	0.003	40.1
569817	test_g1_0967	0160981	100	20	0	0	4	23	826290	826309	0.003	40.1
The percentage of SSRs in coding regions is 13.1578947368
